yr,month,max,min,avg
1993,1,12.0,-9.0,0.8709677419354839
1993,2,11.0,-6.0,3.2857142857142856
1993,3,27.0,-5.0,16.0
1993,4,30.0,-1.0,26.366666666666667
1993,5,34.0,6.0,35.96774193548387
1993,6,32.0,10.0,41.93333333333333
1993,7,32.0,8.0,43.16129032258065
1993,8,37.0,7.0,46.32258064516129
1993,9,29.0,6.0,33.6
1993,10,21.0,-1.0,21.29032258064516
1993,11,16.0,-7.0,9.7
1993,12,10.0,-11.0,0.6129032258064516
1997,1,8.0,-6.0,2.4838709677419355
1997,2,14.0,-7.0,6.678571428571429
1997,3,25.0,-2.0,20.322580645161292
1997,4,26.0,-1.0,23.4
1997,5,32.0,5.0,34.096774193548384
1997,6,32.0,8.0,39.1
1997,7,33.0,9.0,42.806451612903224
1997,8,35.0,10.0,45.16129032258065
1997,9,33.0,6.0,39.4
1997,10,26.0,-5.0,22.032258064516128
1997,11,16.0,-3.0,10.666666666666666
1997,12,13.0,-7.0,4.290322580645161
2001,1,9.0,-8.0,2.6451612903225805
2001,2,14.0,-6.0,8.142857142857142
2001,3,22.0,-1.0,19.580645161290324
2001,4,24.0,0.0,22.733333333333334
2001,5,34.0,7.0,38.87096774193548
2001,6,34.0,6.0,40.06666666666667
2001,7,36.0,12.0,47.12903225806452
2001,8,34.0,10.0,46.903225806451616
2001,9,28.0,3.0,30.633333333333333
2001,10,22.0,5.0,26.903225806451612
2001,11,17.0,-6.0,7.4
2001,12,13.0,-11.0,-1.8387096774193548
2005,1,11.0,-6.7,1.4322580645161287
2005,2,12.2,-6.8,4.942857142857143
2005,3,26.2,-8.2,17.025806451612905
2005,4,27.3,2.9,26.006666666666668
2005,5,32.8,7.4,37.99032258064515
2005,6,37.3,10.0,46.51666666666666
2005,7,35.6,12.8,47.42903225806451
2005,8,33.2,12.2,43.81290322580645
2005,9,32.5,9.6,38.79666666666665
2005,10,19.6,2.9,24.200000000000006
2005,11,14.6,-4.8,10.849999999999998
2005,12,8.8,-9.6,-0.7516129032258064
2009,1,10.2,-8.9,2.919354838709677
2009,2,16.7,-4.8,8.260714285714284
2009,3,19.2,-0.6,17.54516129032258
2009,4,25.2,6.0,28.116666666666678
2009,5,33.6,9.5,40.16129032258064
2009,6,31.7,10.0,43.07333333333334
2009,7,33.9,13.1,45.880645161290346
2009,8,33.5,13.4,48.25161290322582
2009,9,30.1,10.0,38.470000000000006
2009,10,24.7,0.6,25.970967741935485
2009,11,14.0,-1.4,14.823333333333329
2009,12,12.2,-9.5,4.325806451612904
2013,1,17.7,-3.3,6.299999999999999
2013,2,12.6,-3.4,6.2607142857142835
2013,3,16.0,-0.8,14.893548387096775
2013,4,26.8,3.5,27.823333333333334
2013,5,26.5,5.1,31.648387096774194
2013,6,33.4,10.1,41.523333333333326
2013,7,35.8,13.7,49.65483870967741
2013,8,36.0,13.3,47.209677419354826
2013,9,29.5,9.3,37.57999999999997
2013,10,20.1,5.2,27.587096774193554
2013,11,17.6,-4.4,17.113333333333337
2013,12,15.5,-3.5,8.261290322580644
2017,1,9.3,-7.7,1.3645161290322587
2017,2,13.8,-0.8,12.917857142857141
2017,3,24.0,1.2,24.229032258064514
2017,4,24.0,3.6,27.763333333333335
2017,5,31.2,5.8,37.57096774193549
2017,6,33.7,9.8,46.48999999999998
2017,7,33.7,12.2,46.91290322580646
2017,8,35.5,13.4,47.254838709677415
2017,9,25.9,7.1,33.26333333333334
2017,10,21.3,2.4,27.06129032258066
2017,11,13.8,-3.5,13.103333333333328
2017,12,10.1,-6.7,2.364516129032257
2021,1,8.2,-9.4,0.03870967741935519
2021,2,18.9,-4.4,11.646428571428569
2021,3,25.3,-1.5,17.803225806451618
2021,4,25.6,-0.7,23.653333333333343
2021,5,26.6,7.0,31.548387096774196
2021,6,33.6,13.1,47.31666666666667
2021,7,33.5,14.4,46.08064516129033
2021,8,32.9,9.6,42.777419354838706
2021,9,29.7,11.1,39.15666666666667
2021,10,22.0,1.7,23.890322580645165
2021,11,14.1,-2.3,14.28666666666666
2021,12,11.5,-5.7,5.680645161290323
